Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
1	1	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Saquon Barkley	RB	PHI		
1	2	2	Juschka	Juschka	2	341593961992892416	Ja'Marr Chase	WR	CIN		
1	3	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Bijan Robinson	RB	ATL		
1	4	4	Talahon United	Simon2307	4	859802093802864640	Jahmyr Gibbs	RB	DET		
1	5	5	Dreggsverein	ShamH	5	76695567182741504	Justin Jefferson	WR	MIN		
1	6	6	oG United	Jottage	6	342040643784294400	CeeDee Lamb	WR	DAL		
1	7	7	Snatchville Lubricators	kesso	7	589576591017811968	Derrick Henry	RB	BAL		
1	8	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Puka Nacua	WR	LAR		
2	9	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Ashton Jeanty	RB	LV		
2	10	2	Snatchville Lubricators	kesso	7	589576591017811968	Amon-Ra St. Brown	WR	DET		
2	11	3	oG United	Jottage	6	342040643784294400	Nico Collins	WR	HOU		
2	12	4	Dreggsverein	ShamH	5	76695567182741504	Malik Nabers	WR	NYG		
2	13	5	Talahon United	Simon2307	4	859802093802864640	Brian Thomas	WR	JAX		
2	14	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Kyren Williams	RB	LAR		
2	15	7	Juschka	Juschka	2	341593961992892416	Josh Jacobs	RB	GB		
2	16	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	A.J. Brown	WR	PHI		
3	17	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	De'Von Achane	RB	MIA		
3	18	2	Juschka	Juschka	2	341593961992892416	Christian McCaffrey	RB	SF		
3	19	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Ladd McConkey	WR	LAC		
3	20	4	Talahon United	Simon2307	4	859802093802864640	Bucky Irving	RB	TB		
3	21	5	Dreggsverein	ShamH	5	76695567182741504	Jonathan Taylor	RB	IND		
3	22	6	oG United	Jottage	6	342040643784294400	Drake London	WR	ATL		
3	23	7	Snatchville Lubricators	kesso	7	589576591017811968	Brock Bowers	TE	LV		
3	24	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Josh Allen	QB	BUF		
4	25	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	James Cook	RB	BUF		
4	26	2	Snatchville Lubricators	kesso	7	589576591017811968	Chase Brown	RB	CIN		
4	27	3	oG United	Jottage	6	342040643784294400	Lamar Jackson	QB	BAL		
4	28	4	Dreggsverein	ShamH	5	76695567182741504	George Kittle	TE	SF		
4	29	5	Talahon United	Simon2307	4	859802093802864640	Tyreek Hill	WR	MIA		
4	30	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Jaxon Smith-Njigba	WR	SEA		
4	31	7	Juschka	Juschka	2	341593961992892416	Mike Evans	WR	TB		
4	32	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Trey McBride	TE	ARI		
5	33	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Terry McLaurin	WR	WAS		
5	34	2	Juschka	Juschka	2	341593961992892416	Davante Adams	WR	LAR		
5	35	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Alvin Kamara	RB	NO		
5	36	4	Talahon United	Simon2307	4	859802093802864640	Breece Hall	RB	NYJ		
5	37	5	Dreggsverein	ShamH	5	76695567182741504	Jayden Daniels	QB	WAS		
5	38	6	oG United	Jottage	6	342040643784294400	Kenneth Walker	RB	SEA		
5	39	7	Snatchville Lubricators	kesso	7	589576591017811968	Joe Mixon	RB	HOU		
5	40	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Marvin Harrison	WR	ARI		
6	41	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Omarion Hampton	RB	LAC		
6	42	2	Snatchville Lubricators	kesso	7	589576591017811968	Tee Higgins	WR	CIN		
6	43	3	oG United	Jottage	6	342040643784294400	Chuba Hubbard	RB	CAR		
6	44	4	Dreggsverein	ShamH	5	76695567182741504	James Conner	RB	ARI		
6	45	5	Talahon United	Simon2307	4	859802093802864640	Jalen Hurts	QB	PHI		
6	46	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Joe Burrow	QB	CIN		
6	47	7	Juschka	Juschka	2	341593961992892416	D'Andre Swift	RB	CHI		
6	48	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	DK Metcalf	WR	PIT		
7	49	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	David Montgomery	RB	DET		
7	50	2	Juschka	Juschka	2	341593961992892416	Garrett Wilson	WR	NYJ		
7	51	3	Extrem durstige Welse	LosSausages	3	342208470788886528	DJ Moore	WR	CHI		
7	52	4	Talahon United	Simon2307	4	859802093802864640	Rashee Rice	WR	KC		
7	53	5	Dreggsverein	ShamH	5	76695567182741504	RJ Harvey	RB	DEN		
7	54	6	oG United	Jottage	6	342040643784294400	TreVeyon Henderson	RB	NE		
7	55	7	Snatchville Lubricators	kesso	7	589576591017811968	Courtland Sutton	WR	DEN		
7	56	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Xavier Worthy	WR	KC		
8	57	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Sam LaPorta	TE	DET		
8	58	2	Snatchville Lubricators	kesso	7	589576591017811968	Patrick Mahomes	QB	KC		
8	59	3	oG United	Jottage	6	342040643784294400	Kaleb Johnson	RB	PIT		
8	60	4	Dreggsverein	ShamH	5	76695567182741504	Travis Hunter	WR	JAX		
8	61	5	Talahon United	Simon2307	4	859802093802864640	Zay Flowers	WR	BAL		
8	62	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Isiah Pacheco	RB	KC		
8	63	7	Juschka	Juschka	2	341593961992892416	Calvin Ridley	WR	TEN		
8	64	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	George Pickens	WR	DAL		
9	65	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Aaron Jones	RB	MIN		
9	66	2	Juschka	Juschka	2	341593961992892416	Baker Mayfield	QB	TB		
9	67	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Travis Kelce	TE	KC		
9	68	4	Talahon United	Simon2307	4	859802093802864640	Tony Pollard	RB	TEN		
9	69	5	Dreggsverein	ShamH	5	76695567182741504	Jameson Williams	WR	DET		
9	70	6	oG United	Jottage	6	342040643784294400	DeVonta Smith	WR	PHI		
9	71	7	Snatchville Lubricators	kesso	7	589576591017811968	Jaylen Waddle	WR	MIA		
9	72	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Chris Olave	WR	NO		
10	73	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Tyrone Tracy	RB	NYG		
10	74	2	Snatchville Lubricators	kesso	7	589576591017811968	Quinshon Judkins	RB	CLE		
10	75	3	oG United	Jottage	6	342040643784294400	Chris Godwin	WR	TB		
10	76	4	Dreggsverein	ShamH	5	76695567182741504	Tetairoa McMillan	WR	CAR		
10	77	5	Talahon United	Simon2307	4	859802093802864640	Jordan Addison	WR	MIN		
10	78	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Brian Robinson	RB	SF		
10	79	7	Juschka	Juschka	2	341593961992892416	Mark Andrews	TE	BAL		
10	80	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Rome Odunze	WR	CHI		
11	81	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Brandon Aiyuk	WR	SF		
11	82	2	Juschka	Juschka	2	341593961992892416	Travis Etienne	RB	JAX		
11	83	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Jaylen Warren	RB	PIT		
11	84	4	Talahon United	Simon2307	4	859802093802864640	Jonnu Smith	TE	PIT		
11	85	5	Dreggsverein	ShamH	5	76695567182741504	T.J. Hockenson	TE	MIN		
11	86	6	oG United	Jottage	6	342040643784294400	Najee Harris	RB	LAC		
