ManagerName	PointsFor	PointsAgainst	Moves	Trades	Wins	Losses	Ties	Championships	Playoffs	Finals	Toiletbowls	Sackos	DraftPosition	Seasons
Benni	15088.62	13777.6	580	20	85	55	0	0	0	0	0	0	4.3	10
Benni	15088.62	13777.6	580	20	85	55	0	0	0	0	0	0	4.3	10
Benni	15088.62	13777.6	580	20	85	55	0	0	0	0	0	0	4.3	10
Benni	15088.62	13777.6	580	20	85	55	0	0	0	0	0	0	4.3	10
Benni	15088.62	13777.6	580	20	85	55	0	0	0	0	0	0	4.3	10
Ritz	14121.52	13862.6	306	10	79	61	0	0	0	0	0	0	5.8	10
Ritz	14121.52	13862.6	306	10	79	61	0	0	0	0	0	0	5.8	10
Ritz	14121.52	13862.6	306	10	79	61	0	0	0	0	0	0	5.8	10
Ritz	14121.52	13862.6	306	10	79	61	0	0	0	0	0	0	5.8	10
Ritz	14121.52	13862.6	306	10	79	61	0	0	0	0	0	0	5.8	10
Erik	14715.82	14442.6	408	38	74	66	0	0	0	0	0	0	3.3	10
Erik	14715.82	14442.6	408	38	74	66	0	0	0	0	0	0	3.3	10
Erik	14715.82	14442.6	408	38	74	66	0	0	0	0	0	0	3.3	10
Erik	14715.82	14442.6	408	38	74	66	0	0	0	0	0	0	3.3	10
Erik	14715.82	14442.6	408	38	74	66	0	0	0	0	0	0	3.3	10
Marv	13994.36	14027.66	234	21	73	67	0	0	0	0	0	0	5.5	10
Marv	13994.36	14027.66	234	21	73	67	0	0	0	0	0	0	5.5	10
Marv	13994.36	14027.66	234	21	73	67	0	0	0	0	0	0	5.5	10
Marv	13994.36	14027.66	234	21	73	67	0	0	0	0	0	0	5.5	10
Marv	13994.36	14027.66	234	21	73	67	0	0	0	0	0	0	5.5	10
Tommy	13967.36	14008.72	312	9	69	71	0	0	0	0	0	0	4.4	10
Tommy	13967.36	14008.72	312	9	69	71	0	0	0	0	0	0	4.4	10
Tommy	13967.36	14008.72	312	9	69	71	0	0	0	0	0	0	4.4	10
Tommy	13967.36	14008.72	312	9	69	71	0	0	0	0	0	0	4.4	10
Tommy	13967.36	14008.72	312	9	69	71	0	0	0	0	0	0	4.4	10
Simi	13742.74	14312.1	244	12	62	78	0	0	0	0	0	0	3.7	10
Simi	13742.74	14312.1	244	12	62	78	0	0	0	0	0	0	3.7	10
Simi	13742.74	14312.1	244	12	62	78	0	0	0	0	0	0	3.7	10
Simi	13742.74	14312.1	244	12	62	78	0	0	0	0	0	0	3.7	10
Simi	13742.74	14312.1	244	12	62	78	0	0	0	0	0	0	3.7	10
Kessi	13483.38	13782.06	164	6	62	78	0	0	0	0	0	0	3.6	10
Kessi	13483.38	13782.06	164	6	62	78	0	0	0	0	0	0	3.6	10
Kessi	13483.38	13782.06	164	6	62	78	0	0	0	0	0	0	3.6	10
Kessi	13483.38	13782.06	164	6	62	78	0	0	0	0	0	0	3.6	10
Kessi	13483.38	13782.06	164	6	62	78	0	0	0	0	0	0	3.6	10
Juschka	13378.28	14278.74	233	6	56	84	0	0	0	0	0	0	5.4	10
Juschka	13378.28	14278.74	233	6	56	84	0	0	0	0	0	0	5.4	10
Juschka	13378.28	14278.74	233	6	56	84	0	0	0	0	0	0	5.4	10
Juschka	13378.28	14278.74	233	6	56	84	0	0	0	0	0	0	5.4	10
Juschka	13378.28	14278.74	233	6	56	84	0	0	0	0	0	0	5.4	10
