Year	QB	OwnerQB	RB	OwnerRB	WR	OwnerWR	TE	OwnerTE
2015	Cam Newton	Erik	Devonta Freeman	Juschka	Antonio Brown	Erik	Rob Gronkowski	Ritz
2016	Aaron Rodgers	Ritz	David Johnson	Erik	Antonio Brown	Kessi	Travis Kelce	Benni
2017	Russell Wilson	Simi	Todd Gurley	Tommy	DeAndre Hopkins	Simi	Travis Kelce	Erik
2018	Patrick Mahomes	Tommy	Todd Gurley	Tommy	Antonio Brown	Simi	Travis Kelce	Erik
2019	Lamar Jackson	Erik	Christian McCaffrey	Marv	Michael Thomas	Tommy	Travis Kelce	Marv
2020	Kyler Murray	Erik	Alvin Kamara	Juschka	Tyreek Hill	Tommy	Travis Kelce	Marv
2021	Josh Allen	Marv	Jonathan Taylor	Ritz	Cooper Kupp	Kessi	Mark Andrews	Simi
2022	Patrick Mahomes	Benni	Derrick Henry	Simi	Justin Jefferson	Erik	Travis Kelce	Benni
2023	Josh Allen	Tommy	Christian McCaffrey	Erik	Tyreek Hill	Benni	Sam LaPorta	Juschka
2024	Lamar Jackson	Tommy	Saquon Barkley	Tommy	Ja'Marr Chase	Kessi	George Kittle	Kessi
